Country,Year,Period,Item code,Item name,Value,Undertaking type
AUSTRIA,2016,Q3,R0030,Intangible assets,0,Life undertakings
AUSTRIA,2016,Q3,R0030,Intangible assets,0,Non-Life undertakings
AUSTRIA,2016,Q3,R0030,Intangible assets,0,Other undertakings
AUSTRIA,2016,Q3,R0040,Deferred tax assets,952,Life undertakings
AUSTRIA,2016,Q3,R0040,Deferred tax assets,21061,Non-Life undertakings
AUSTRIA,2016,Q3,R0040,Deferred tax assets,168664,Other undertakings
AUSTRIA,2016,Q3,R0050,Pension benefit surplus,0,Life undertakings
AUSTRIA,2016,Q3,R0050,Pension benefit surplus,0,Non-Life undertakings
AUSTRIA,2016,Q3,R0050,Pension benefit surplus,4941,Other undertakings
AUSTRIA,2016,Q3,R0060,"Property, plant & equipment held for own use",551,Life undertakings
AUSTRIA,2016,Q3,R0060,"Property, plant & equipment held for own use",19034,Non-Life undertakings
AUSTRIA,2016,Q3,R0060,"Property, plant & equipment held for own use",70904,Other undertakings
AUSTRIA,2016,Q3,R0070,Investments (other than assets held for index-linked and unit-linked contracts),739649,Life undertakings
AUSTRIA,2016,Q3,R0070,Investments (other than assets held for index-linked and unit-linked contracts),1902125,Non-Life undertakings
AUSTRIA,2016,Q3,R0070,Investments (other than assets held for index-linked and unit-linked contracts),7643033,Other undertakings
AUSTRIA,2016,Q3,R0220,Assets held for index-linked and unit-linked contracts,793737,Life undertakings
AUSTRIA,2016,Q3,R0220,Assets held for index-linked and unit-linked contracts,0,Non-Life undertakings
AUSTRIA,2016,Q3,R0220,Assets held for index-linked and unit-linked contracts,1150300,Other undertakings
AUSTRIA,2016,Q3,R0230,Loans and mortgages,14590,Life undertakings
AUSTRIA,2016,Q3,R0230,Loans and mortgages,74936,Non-Life undertakings
AUSTRIA,2016,Q3,R0230,Loans and mortgages,362174,Other undertakings
AUSTRIA,2016,Q3,R0270,Reinsurance recoverables from:,47202,Life undertakings
AUSTRIA,2016,Q3,R0270,Reinsurance recoverables from:,77289,Non-Life undertakings
AUSTRIA,2016,Q3,R0270,Reinsurance recoverables from:,282659,Other undertakings
AUSTRIA,2016,Q3,R0350,Deposits to cedants,0,Life undertakings
AUSTRIA,2016,Q3,R0350,Deposits to cedants,157939,Non-Life undertakings
AUSTRIA,2016,Q3,R0350,Deposits to cedants,502,Other undertakings
AUSTRIA,2016,Q3,R0360,Insurance and intermediaries receivables,1064,Life undertakings
AUSTRIA,2016,Q3,R0360,Insurance and intermediaries receivables,14884,Non-Life undertakings
AUSTRIA,2016,Q3,R0360,Insurance and intermediaries receivables,56393,Other undertakings
AUSTRIA,2016,Q3,R0370,Reinsurance receivables,0,Life undertakings
AUSTRIA,2016,Q3,R0370,Reinsurance receivables,51629,Non-Life undertakings
AUSTRIA,2016,Q3,R0370,Reinsurance receivables,12137,Other undertakings
AUSTRIA,2016,Q3,R0380,"Receivables (trade, not insurance)",1922,Life undertakings
AUSTRIA,2016,Q3,R0380,"Receivables (trade, not insurance)",106789,Non-Life undertakings
AUSTRIA,2016,Q3,R0380,"Receivables (trade, not insurance)",78746,Other undertakings
AUSTRIA,2016,Q3,R0390,Own shares (held directly),0,Life undertakings
AUSTRIA,2016,Q3,R0390,Own shares (held directly),1086,Non-Life undertakings
AUSTRIA,2016,Q3,R0390,Own shares (held directly),0,Other undertakings
AUSTRIA,2016,Q3,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Life undertakings
AUSTRIA,2016,Q3,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Non-Life undertakings
AUSTRIA,2016,Q3,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Other undertakings
AUSTRIA,2016,Q3,R0410,Cash and cash equivalents,5454,Life undertakings
AUSTRIA,2016,Q3,R0410,Cash and cash equivalents,57619,Non-Life undertakings
AUSTRIA,2016,Q3,R0410,Cash and cash equivalents,187775,Other undertakings
AUSTRIA,2016,Q3,R0420,"Any other assets, not elsewhere shown",6833,Life undertakings
AUSTRIA,2016,Q3,R0420,"Any other assets, not elsewhere shown",9191,Non-Life undertakings
AUSTRIA,2016,Q3,R0420,"Any other assets, not elsewhere shown",16940,Other undertakings
AUSTRIA,2016,Q4,R0030,Intangible assets,0,Life undertakings
AUSTRIA,2016,Q4,R0030,Intangible assets,0,Non-Life undertakings
AUSTRIA,2016,Q4,R0030,Intangible assets,0,Other undertakings
AUSTRIA,2016,Q4,R0040,Deferred tax assets,511,Life undertakings
AUSTRIA,2016,Q4,R0040,Deferred tax assets,23081,Non-Life undertakings
AUSTRIA,2016,Q4,R0040,Deferred tax assets,100453,Other undertakings
AUSTRIA,2016,Q4,R0050,Pension benefit surplus,0,Life undertakings
AUSTRIA,2016,Q4,R0050,Pension benefit surplus,0,Non-Life undertakings
AUSTRIA,2016,Q4,R0050,Pension benefit surplus,4826,Other undertakings
AUSTRIA,2016,Q4,R0060,"Property, plant & equipment held for own use",544,Life undertakings
AUSTRIA,2016,Q4,R0060,"Property, plant & equipment held for own use",20788,Non-Life undertakings
AUSTRIA,2016,Q4,R0060,"Property, plant & equipment held for own use",76247,Other undertakings
AUSTRIA,2016,Q4,R0070,Investments (other than assets held for index-linked and unit-linked contracts),705833,Life undertakings
AUSTRIA,2016,Q4,R0070,Investments (other than assets held for index-linked and unit-linked contracts),2024809,Non-Life undertakings
AUSTRIA,2016,Q4,R0070,Investments (other than assets held for index-linked and unit-linked contracts),7563902,Other undertakings
AUSTRIA,2016,Q4,R0220,Assets held for index-linked and unit-linked contracts,363737,Life undertakings
AUSTRIA,2016,Q4,R0220,Assets held for index-linked and unit-linked contracts,0,Non-Life undertakings
AUSTRIA,2016,Q4,R0220,Assets held for index-linked and unit-linked contracts,1596606,Other undertakings
AUSTRIA,2016,Q4,R0230,Loans and mortgages,13099,Life undertakings
AUSTRIA,2016,Q4,R0230,Loans and mortgages,134214,Non-Life undertakings
AUSTRIA,2016,Q4,R0230,Loans and mortgages,316708,Other undertakings
AUSTRIA,2016,Q4,R0270,Reinsurance recoverables from:,9208,Life undertakings
AUSTRIA,2016,Q4,R0270,Reinsurance recoverables from:,62124,Non-Life undertakings
AUSTRIA,2016,Q4,R0270,Reinsurance recoverables from:,285468,Other undertakings
AUSTRIA,2016,Q4,R0350,Deposits to cedants,0,Life undertakings
AUSTRIA,2016,Q4,R0350,Deposits to cedants,137170,Non-Life undertakings
AUSTRIA,2016,Q4,R0350,Deposits to cedants,538,Other undertakings
AUSTRIA,2016,Q4,R0360,Insurance and intermediaries receivables,1568,Life undertakings
AUSTRIA,2016,Q4,R0360,Insurance and intermediaries receivables,12554,Non-Life undertakings
AUSTRIA,2016,Q4,R0360,Insurance and intermediaries receivables,51419,Other undertakings
AUSTRIA,2016,Q4,R0370,Reinsurance receivables,31,Life undertakings
AUSTRIA,2016,Q4,R0370,Reinsurance receivables,40202,Non-Life undertakings
AUSTRIA,2016,Q4,R0370,Reinsurance receivables,19300,Other undertakings
AUSTRIA,2016,Q4,R0380,"Receivables (trade, not insurance)",1481,Life undertakings
AUSTRIA,2016,Q4,R0380,"Receivables (trade, not insurance)",83595,Non-Life undertakings
AUSTRIA,2016,Q4,R0380,"Receivables (trade, not insurance)",43649,Other undertakings
AUSTRIA,2016,Q4,R0390,Own shares (held directly),0,Life undertakings
AUSTRIA,2016,Q4,R0390,Own shares (held directly),590,Non-Life undertakings
AUSTRIA,2016,Q4,R0390,Own shares (held directly),875,Other undertakings
AUSTRIA,2016,Q4,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Life undertakings
AUSTRIA,2016,Q4,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Non-Life undertakings
AUSTRIA,2016,Q4,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Other undertakings
AUSTRIA,2016,Q4,R0410,Cash and cash equivalents,5033,Life undertakings
