Country,Year,Period,Item code,Item name,Value,Undertaking type
AUSTRIA,2016,Q3,R0510,Technical provisions – non-life,0,Life undertakings
AUSTRIA,2016,Q3,R0510,Technical provisions – non-life,363882,Non-Life undertakings
AUSTRIA,2016,Q3,R0510,Technical provisions – non-life,640038,Other undertakings
AUSTRIA,2016,Q3,R0600,Technical provisions - life (excluding index-linked and unit-linked),671700,Life undertakings
AUSTRIA,2016,Q3,R0600,Technical provisions - life (excluding index-linked and unit-linked),58791,Non-Life undertakings
AUSTRIA,2016,Q3,R0600,Technical provisions - life (excluding index-linked and unit-linked),5886603,Other undertakings
AUSTRIA,2016,Q3,R0690,Technical provisions – index-linked and unit-linked,767130,Life undertakings
AUSTRIA,2016,Q3,R0690,Technical provisions – index-linked and unit-linked,3550,Non-Life undertakings
AUSTRIA,2016,Q3,R0690,Technical provisions – index-linked and unit-linked,998715,Other undertakings
AUSTRIA,2016,Q3,R0740,Contingent liabilities,0,Life undertakings
AUSTRIA,2016,Q3,R0740,Contingent liabilities,88,Non-Life undertakings
AUSTRIA,2016,Q3,R0740,Contingent liabilities,1479,Other undertakings
AUSTRIA,2016,Q3,R0750,Provisions other than technical provisions,3211,Life undertakings
AUSTRIA,2016,Q3,R0750,Provisions other than technical provisions,28170,Non-Life undertakings
AUSTRIA,2016,Q3,R0750,Provisions other than technical provisions,50493,Other undertakings
AUSTRIA,2016,Q3,R0760,Pension benefit obligations,954,Life undertakings
AUSTRIA,2016,Q3,R0760,Pension benefit obligations,127385,Non-Life undertakings
AUSTRIA,2016,Q3,R0760,Pension benefit obligations,107794,Other undertakings
AUSTRIA,2016,Q3,R0770,Deposits from reinsurers,49853,Life undertakings
AUSTRIA,2016,Q3,R0770,Deposits from reinsurers,22047,Non-Life undertakings
AUSTRIA,2016,Q3,R0770,Deposits from reinsurers,101698,Other undertakings
AUSTRIA,2016,Q3,R0780,Deferred tax liabilities,6942,Life undertakings
AUSTRIA,2016,Q3,R0780,Deferred tax liabilities,48622,Non-Life undertakings
AUSTRIA,2016,Q3,R0780,Deferred tax liabilities,360242,Other undertakings
AUSTRIA,2016,Q3,R0790,Derivatives,5546,Life undertakings
AUSTRIA,2016,Q3,R0790,Derivatives,381,Non-Life undertakings
AUSTRIA,2016,Q3,R0790,Derivatives,2845,Other undertakings
AUSTRIA,2016,Q3,R0800,Debts owed to credit institutions,4221,Life undertakings
AUSTRIA,2016,Q3,R0800,Debts owed to credit institutions,782,Non-Life undertakings
AUSTRIA,2016,Q3,R0800,Debts owed to credit institutions,13053,Other undertakings
AUSTRIA,2016,Q3,R0810,Financial liabilities other than debts owed to credit institutions,2010,Life undertakings
